metric,audit,reported,deviation_pct,status
Total Rows,740589.0,740589.0,0.0,PASS
Total Users,5798.0,5798.0,0.0,PASS
Total Baskets,41278.0,41278.0,0.0,PASS
Purchase Rows,723488.0,723488.0,0.0,PASS
Return Rows,17101.0,17101.0,0.0,PASS
Gross Total,4081921934.2,4081921934.2,0.0,PASS
Return Total,366576611.09000003,366576611.09000003,0.0,PASS
Net Revenue (All),3715345323.11,3715345323.11,0.0,PASS
Return % of Gross,0.08980490489508687,0.08980490489508687,0.0,PASS
Return Value (recomputed),366576611.09,366576611.09000003,1.625980571923526e-14,PASS
ERPU Mean (Y1),473409.9773967602,473409.9773967602,0.0,PASS
ERPU Median (Y1),213432.22,213432.22,0.0,PASS
Total Users (All Data),5798.0,5798.0,0.0,PASS
Net Revenue (All Data),3715345323.11,3715345323.11,0.0,PASS
Total Baskets (All Data),41278.0,41278.0,0.0,PASS
Top 10% User Share (Net),0.5308100245658455,0.5308100245658455,0.0,PASS
Top 1% User Share (Net),0.19961792203189363,0.19961792203189363,0.0,PASS
Gini Coefficient (Y1),0.6427991732443507,0.6427991732443507,0.0,PASS
Return % of Gross (All Data),0.08980490489508687,0.08980490489508687,0.0,PASS
HHI (Net Products),0.002486047972369741,0.002486047972369741,0.0,PASS
Module A AUC,0.8144029310353096,0.7957626590321638,2.3424411527196773,PASS
Module A Brier Score,0.17507707256281282,0.1810067430912955,3.2759390215047888,PASS
Module A Top-Decile Lift,1.6072052147596323,1.6072052147596323,0.0,PASS
Module C R-squared (OLS),0.24338919221829713,0.24338919221829713,0.0,PASS
Module C R-sq Adjusted,0.24319667038425596,0.24319667038425596,0.0,PASS
Poisson Dispersion,4.260203208760641,4.206752075253009,1.2706033669554362,PASS
Train AUC,0.801913844913515,0.801913844913515,0.0,PASS
Validation AUC,0.8687557944396849,0.8687557944396849,0.0,PASS
Validation Brier Score,0.185164832239138,0.185164832239138,0.0,PASS
Validation Top-Decile Lift,2.4723952577112427,2.4719645018152483,0.01742565055760614,PASS
Validation ECE,0.19052565391535128,0.1905256539153512,4.370368248880615e-14,PASS
Validation Mean ERPU,64731.636105930615,64731.636105930615,0.0,PASS
Validation Median ERPU,0.0,0.0,0.0,PASS
Validation Top-10% Share,0.6682441356347251,0.6682441356347252,1.661403318669788e-14,PASS
Validation Gini,0.8333716119616266,0.8333716119616268,2.6644128710164838e-14,PASS
Total Scored Users,4381.0,4381.0,0.0,PASS
Mean Predicted ERPU,392837.40503804525,392784.82686,0.013386000285602192,PASS
ERPU Formula Consistency (sample),616028.9960762822,616028.9960762822,0.0,PASS
Targeted User Count,1314.0,1314.0,0.0,PASS
% Targeted,29.99315224834513,29.99,0.010510998149820507,PASS
Total Expected Net Revenue,1211547567.1615918,1211547567.16,1.3137597542398675e-10,PASS
Mean ERPU (Targeted),922030.1119951231,922030.11,2.1638372611471515e-07,PASS
Mean ERPU (Non-Targeted),166114.47809262626,166114.48,1.1482284683539833e-06,PASS
Budget Constraint Actual,0.2999315224834513,0.2999,0.010510998149811622,PASS
Return Risk Constraint,0.19101978691019786,0.191,0.010359638847044706,PASS
Top-10% Share (Targeted),0.5150712710190054,0.5151,0.0055773599290616874,PASS
Concentration Relative Increase,-0.02963211940654605,-0.0296,0.10851150860151154,PASS
Mean P(purchase) targeted,0.881967874134345,0.882,0.0036423883962632213,PASS
Mean E[freq] targeted,9.018244542091537,9.0182,0.0004939133256850087,PASS
E[basket] targeted,109434.18602687892,109434.19,3.630603091627045e-06,PASS
Return rate targeted,0.0055425818038562285,0.0055,0.7742146155677972,PASS
Total ERPU (25%),1137268630.3579934,1137268630.3579934,0.0,PASS
Mean ERPU (25%),1038601.4889114095,1038601.4889114095,0.0,PASS
Return Risk % (25%),0.20639269406392693,0.20639269406392693,0.0,PASS
Top-10% Share (25%),0.5281594108177651,0.5281594108177651,0.0,PASS
Total ERPU (30%),1211547567.1615918,1211547567.1615918,0.0,PASS
Mean ERPU (30%),922030.1119951231,922030.1119951231,0.0,PASS
Return Risk % (30%),0.19101978691019786,0.19101978691019783,1.4530209704755537e-14,PASS
Top-10% Share (30%),0.5150712710190054,0.5150712710190054,0.0,PASS
Total ERPU (35%),1278784914.5532417,1278784914.5532417,0.0,PASS
Mean ERPU (35%),834171.503296309,834171.503296309,0.0,PASS
Return Risk % (35%),0.18003913894324852,0.18003913894324852,0.0,PASS
Top-10% Share (35%),0.5043263870884689,0.5043263870884689,0.0,PASS
