targeted_n,targeted_pct,total_erpu,return_prone_pct
100,2.282583884957772,255276388.22280273,34.0
187,4.268431864871034,359688896.4536998,30.481283422459892
274,6.254279844784295,440190607.61345786,24.45255474452555
361,8.240127824697558,506835055.9102615,23.26869806094183
448,10.225975804610819,564851209.462735,22.098214285714285
535,12.211823784524082,617490779.5364966,21.30841121495327
622,14.197671764437342,666329043.5197996,19.774919614147908
709,16.183519744350605,711895872.6174072,18.758815232722146
796,18.169367724263864,754427301.9190141,18.84422110552764
883,20.155215704177127,794219080.5149018,18.68629671574179
970,22.14106368409039,831668229.7885437,19.175257731958766
1057,24.126911664003654,867318929.2159903,18.82686849574267
1144,26.112759643916917,900990087.8402536,18.61888111888112
1231,28.098607623830173,933078484.2979723,18.277822908204712
1318,30.084455603743436,963822531.415626,17.450682852807283
1405,32.0703035836567,993141970.236152,17.508896797153024
1492,34.056151563569955,1021115010.8926245,17.024128686327078
1579,36.04199954348322,1047936150.1907064,16.719442685243823
1666,38.02784752339649,1073501507.548968,16.266506602641055
1753,40.01369550330975,1098137058.619129,16.086708499714774
1840,41.99954348322301,1121952704.672854,15.489130434782608
1927,43.98539146313627,1144974036.0442467,15.256875973015049
2014,45.971239443049534,1167202161.3028092,14.746772591857003
2101,47.95708742296279,1188663189.8945081,14.421703950499762
2188,49.94293540287605,1209389279.2873337,14.351005484460694
2275,51.92878338278932,1229364149.9404898,14.153846153846153
2362,53.91463136270258,1248494110.588077,13.971210838272649
2449,55.90047934261584,1266699417.379788,13.51572070232748
2536,57.886327322529105,1283923137.6682863,13.170347003154575
2623,59.872175302442365,1300251688.7919974,12.886008387342738
2710,61.858023282355624,1315753996.420322,12.656826568265684
2797,63.84387126226889,1330264218.5095847,12.513407222023595
2884,65.82971924218215,1343526814.9942255,12.309292649098474
2971,67.81556722209541,1355828669.986318,12.117132278694044
3058,69.80141520200867,1367510332.8869328,11.805101373446696
3145,71.78726318192193,1378671092.3540182,11.637519872813991
3232,73.77311116183519,1389272723.3122952,11.448019801980198
3319,75.75895914174846,1399181074.207613,11.23832479662549
3406,77.74480712166172,1408397769.4203858,11.127422196124487
3493,79.73065510157498,1416802958.5775785,11.193816203836244
3580,81.71650308148824,1424472966.638467,11.145251396648044
3667,83.7023510614015,1431346710.7771344,11.098991000818108
3754,85.68819904131477,1437204109.5405672,11.001598295151837
3841,87.67404702122803,1442363650.0696855,10.804478000520698
3928,89.6598950011413,1446857172.3871326,10.641547861507128
4015,91.64574298105455,1450843159.0248272,10.485678704856786
4102,93.63159096096781,1454376603.817396,10.45831301803998
4189,95.61743894088107,1457194817.7051144,10.264979708761041
4276,97.60328692079435,1459352835.057952,10.126286248830683
4363,99.58913490070759,1460658407.747677,10.016044006417603
4381,100.0,1460809063.6040144,9.997717416115043
